
37662756,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37662815,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37663752,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37663810,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37664756,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37664815,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37665753,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37665812,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37666754,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37666812,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37667753,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37667812,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37668751,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37668809,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37669752,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37669811,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37670749,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37670807,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37671753,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37671812,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37672751,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37672809,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37673757,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37673816,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37674752,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37674810,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37675754,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37675812,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37676752,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37676810,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37677754,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37677812,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37678752,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37678810,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37679748,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37679807,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37680746,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37680804,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37681746,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37681804,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37682746,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37682804,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37683750,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37683808,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37684749,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37684807,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37685752,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37685810,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37686753,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37686811,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37687752,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37687810,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37688751,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37688809,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37689756,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37689814,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37690753,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37690811,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37691756,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
37691814,        0, $GPGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*30
37692754,        0, $GPGGA,,,,,,0,00,99.99,,,,,,*48
